2023-05-11 20:36:59:felx_hist: Optimisation method=Nelder-Mead
2023-05-12 05:10:27:hist_250_v0_00: p=3294: cost=0.30861538648605347 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 6.144898828079799e-05, 'mu_D': 0.005, 'mu_D_180': 0.02183302627047788}
2023-05-12 05:20:04:hist_250_v0_00: p=3294: cost=0.30864042043685913 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 8.645225682419733e-05, 'mu_D': 0.005, 'mu_D_180': 0.0194070598998401}
2023-05-12 05:29:34:hist_250_v0_00: p=3294: cost=0.3085898756980896 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 6.75907959755107e-05, 'mu_D': 0.005, 'mu_D_180': 0.022516853972044594}
2023-05-12 05:39:09:hist_250_v0_00: p=3294: cost=0.30850934982299805 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 7.011257083827649e-05, 'mu_D': 0.005, 'mu_D_180': 0.02712778987643085}
2023-05-12 05:48:41:hist_250_v0_00: p=3294: cost=0.308502197265625 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 7.240221128986969e-05, 'mu_D': 0.005, 'mu_D_180': 0.027408538850838257}
2023-05-12 05:58:16:hist_250_v0_00: p=3294: cost=0.30846846103668213 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 7.7967295766615e-05, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 06:07:44:hist_250_v0_00: p=3294: cost=0.3084648847579956 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 8.310012337090716e-05, 'mu_D': 0.005, 'mu_D_180': 0.02926383386223877}
2023-05-12 06:17:12:hist_250_v0_00: p=3294: cost=0.3084396421909332 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 9.544981056993658e-05, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 06:26:44:hist_250_v0_00: p=3294: cost=0.30843427777290344 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 9.880129976242748e-05, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 06:36:11:hist_250_v0_00: p=3294: cost=0.30840030312538147 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.00011931641506889029, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 06:45:41:hist_250_v0_00: p=3294: cost=0.3084597587585449 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 8.32657753856092e-05, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 06:55:11:hist_250_v0_00: p=3294: cost=0.30840423703193665 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.00011699575877093302, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 07:04:36:hist_250_v0_00: p=3294: cost=0.30838751792907715 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.00012708545138651712, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 07:14:11:hist_250_v0_00: p=3294: cost=0.30834057927131653 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.00015557189166063743, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 07:23:36:hist_250_v0_00: p=3294: cost=0.3083491921424866 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.0001502725648157876, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 07:33:07:hist_250_v0_00: p=3294: cost=0.3083139657974243 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.0001717768009688648, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 07:42:42:hist_250_v0_00: p=3294: cost=0.30824145674705505 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.0002160323137604926, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 07:52:16:hist_250_v0_00: p=3294: cost=0.308254599571228 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.00020782576706075982, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 08:01:48:hist_250_v0_00: p=3294: cost=0.30823075771331787 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.00022261182217569406, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 08:11:10:hist_250_v0_00: p=3294: cost=0.30814430117607117 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.00027541985387807453, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 08:20:36:hist_250_v0_00: p=3294: cost=0.3081321120262146 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.00028273254140141047, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 08:30:06:hist_250_v0_00: p=3294: cost=0.3079989552497864 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.0003644406045676705, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 08:39:33:hist_250_v0_00: p=3294: cost=0.30804282426834106 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.0003374436075552664, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 08:49:07:hist_250_v0_00: p=3294: cost=0.30793294310569763 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.00040489296706826814, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 08:58:31:hist_250_v0_00: p=3294: cost=0.3077302873134613 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.0005295535047720835, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 09:07:58:hist_250_v0_00: p=3294: cost=0.3078083097934723 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.0004813301867526752, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 09:17:29:hist_250_v0_00: p=3294: cost=0.30765002965927124 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.0005792427892498152, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 09:26:55:hist_250_v0_00: p=3294: cost=0.3073573708534241 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.0007608480269944765, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 09:36:18:hist_250_v0_00: p=3294: cost=0.3074323534965515 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.0007140265183787942, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 09:45:47:hist_250_v0_00: p=3294: cost=0.307290256023407 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.0008026359290310134, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 09:55:15:hist_250_v0_00: p=3294: cost=0.30697357654571533 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 10:04:35:hist_250_v0_00: p=3294: cost=0.30697357654571533 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 10:14:09:hist_250_v0_00: p=3294: cost=0.30697357654571533 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 10:23:44:hist_250_v0_00: p=3294: cost=0.30697357654571533 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 10:33:17:hist_250_v0_00: p=3294: cost=0.30697357654571533 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 10:42:44:hist_250_v0_00: p=3294: cost=0.30697357654571533 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 10:52:21:hist_250_v0_00: p=3294: cost=0.30697357654571533 {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.005, 'mu_D_180': 0.03}
2023-05-12 10:52:21:hist_250_v0_00: p=3294, method=Nelder-Mead, nit=59, nfev=90, success=True, message=Optimization terminated successfully.
2023-05-12 10:52:21:hist_250_v0_00: Init [2, 0.0006, 0.0001, 0.02, 0.01]
2023-05-12 10:52:21:hist_250_v0_00: Optimimal {'c_scav': 1.5, 'k_inorg': 0.001, 'k_org': 0.001, 'mu_D': 0.005, 'mu_D_180': 0.03}
